taxa	p_raw	p_adjusted
Hominicoprocola.sp003522105	0.3830669278469	1
PeH17.sp000435055	0.265325515070287	1
CAG.448.sp003150135	0.878968985087402	1
Vescimonas.sp900547745	0.458751662797436	1
Prevotella.lascolaii	0.965299381621532	1
Blautiasp905206915	0.844771743519539	1
CAG.488.sp000434055	0.337058571866911	1
UBA738.sp003522945	0.0583492099886821	1
CAG.873.sp001701165	0.861838627282944	1
Megasphaera.elsdenii_A	0.760654012318577	1
UBA2903.sp900768465	0.896155071405668	1
RGIG7114.sp938023775	0.744125167754451	1
Avelusimicrobium.sp900540405	0.586213874783266	1
Desulfovibrio.sp900556755	0.472117954704294	1
Cryptobacteroides.sp000434935	0.947969181536932	1
UBA1829.sp900549415	0.744125167754451	1
Agathobacter.sp900549895	0.760654012318577	1
Cryptobacteroides.sp000433355	0.844771743519539	1
UBA4372.sp900543815	0.527624506541309	1
Hominicoprocola.sp900317525	0.64759417156185	1
Anaerovibrio.sp900548165	0.744125167754451	1
Prevotella.sp900543975	0.458751662797436	1
Ruminococcuscallidus	0.861838627282944	1
Prevotella.sp002299635	0.794028055423461	1
Phil1.sp001940855	0.878968985087402	1
Prevotella.sp003447235	0.586213874783266	1
Cryptobacteroides.sp000431015	0.744125167754451	1
Cryptobacteroides.sp000435075	0.930663081922545	1
Alloprevotella.timonensis	0.55655074152081	1
CAG.177.sp003514385	0.930663081922545	1
SFEL01.sp004557245	0.601309944811687	1
Vescimonas.sp900552725	0.744125167754451	1
Vescimonas.sp000435975	0.744125167754451	1
Treponemaperuense	0.760654012318577	1
Prevotella.sp900313215	0.878968985087402	1
Prevotella.sp000434975	0.896155071405668	1
Firm.07.sp905187695	0.744125167754451	1
Angelakisella.sp004557855	0.64759417156185	1
Vescimonas.sp003487665	0.744125167754451	1
Mitsuokella.jalaludinii	0.586213874783266	1
UBA10281.sp000437515	0.930663081922545	1
Prevotella.sp945863825	0.744125167754451	1
F23.B02.sp002472405	0.794028055423461	1
CAG.791.sp000431495	0.663335819487001	1
Methanobrevibactersmithii	0.274887683609106	1
Eubacteriumsp003491505	0.407419545225445	1
CAG.170.sp002404795	0.445595976973432	1
Prevotella.sp002265625	0.827775994439035	1
Vescimonas.sp000435555	0.711418553497128	1
CAG.568.sp000434395	0.930663081922545	1
Bifidobacterium.adolescentis	0.109283713833138	1
CAG.492.sp000434335	0.632005521963359	1
Duodenibacillus.massiliensis	0.913389065403133	1
CAG.632.sp000431515	0.284677717217307	1
Faecalibacterium.hattorii	0.777290670735442	1
Vescimonas.sp900548615	0.527624506541309	1
Bacteroides.caccae	0.499469895607991	1
Bifidobacterium.pullorum	0.679224538839855	1
Fimenecus.sp000432435	0.711418553497128	1
Sodaliphilus.pleomorphus	0.679224538839855	1
Butyricimonas.virosa	0.679224538839855	1
Vescimonas.coprocola	0.513448720607901	1
Lachnospira.hominis	0.64759417156185	1
Ruthenibacterium.lactatiformans	0.284677717217307	1
Bifidobacterium.longum	0.104429428803688	1
Bacteroides.stercoris	0.810858944990245	1
Parabacteroides.merdae	0.124898161475849	1
Bifidobacterium.pseudocatenulatum	0.711418553497128	1
Barnesiella.intestinihominis	0.458751662797436	1
Faecousia.sp000435995	0.679224538839855	1
Lachnospira.eligens_A	0.965299381621532	1
Enterococcusfaecium	0.965299381621532	1
Ruminiclostridiumsiraeum	0.64759417156185	1
Caccoplasma.intestinavium	0.695254215556947	1
CAG.269.sp958438515	0.679224538839855	1
Bacteroides.uniformis	0.586213874783266	1
Tractidigestivibacter.sp000752675	0.359609852851348	1
UBA738.sp934511165	0.679224538839855	1
Collinsella.aerofaciens_Q	0.571292507520386	1
Thermophilibacter.mediterraneus	0.679224538839855	1
Bulleidia.intestinalis	0.663335819487001	1
CAG.170.sp900545925	0.760654012318577	1
Escherichia.coli	0.695254215556947	1
Cryptobacteroides.sp900316045	0.663335819487001	1
CAG.103.sp900757655	0.810858944990245	1
CAG.433.sp000433675	0.965299381621532	1
Methanosphaera.stadtmanae	0.679224538839855	1
CAG.314.sp000437915	0.679224538839855	1
Pelethomonas.sp958423465	0.679224538839855	1
Bifidobacterium.bifidum	0.513448720607901	1
Akkermansia.massiliensis	0.663335819487001	1
Scatomorpha.intestinigallinarum	0.982645666800472	1
Dialister.succinatiphilus	0.458751662797436	1
Acidaminococcus.intestini	0.679224538839855	1
Limosilactobacillus.mucosae	0.220899315953577	1
Butyrivibriosp000431815	0.445595976973432	1
Limiplasma.merdipullorum	0.930663081922545	1
Ligilactobacillus.ruminis	0.458751662797436	1
UBA644.sp900547165	1	1
Merdousia.sp900760665	0.982645666800472	1
Scatomorpha.sp900545405	0.810858944990245	1
Alistipes.onderdonkii	1	1
Prevotella.sp900546535	0.844771743519539	1
Akkermansia.muciniphila	0.982645666800472	1
Coprococcus.ammoniilyticus	0.913389065403133	1
Acetatifactor.acetigignens	0.947969181536932	1
UBA1829.sp900548385	0.586213874783266	1
Jutongia.sp003524945	0.445595976973432	1
Anaerostipes.hadrus	0.982645666800472	1
Bifidobacterium.angulatum	0.930663081922545	1
Faecalibacterium.prausnitzii_E	0.947969181536932	1
Gemmiger.sp900539695	0.965299381621532	1
Faecalibacterium.prausnitzii_I	0.965299381621532	1
Alistipes.finegoldii	0.930663081922545	1
Phocaeicola.sp000434735	0.878968985087402	1
Bacteroides.ovatus	0.861838627282944	1
Bacteroides.thetaiotaomicron	0.810858944990245	1
CAZU01.sp000432275	0.586213874783266	1
CAG.177.sp000431775	0.445595976973432	1
Roseburiaamylophila	0.586213874783266	1
CAG.349.sp003539515	0.294696184376506	1
CAG.475.sp000434435	0.878968985087402	1
Phocaeicola.plebeius_A	0.878968985087402	1
Megamonas.funiformis	0.472117954704294	1
Prevotella.sp000436035	0.616575602311988	1
Prevotella.sp022732315	0.947969181536932	1
Faecalibacterium.prausnitzii_A	0.861838627282944	1
Sutterella.faecalis	0.695254215556947	1
Coprococcus.sp000154245	0.407419545225445	1
Catenibacterium.faecis	0.255990448009317	1
Vescimonas.sp900551355	0.760654012318577	1
UBA10281.sp900554485	1	1
Limivicinus.sp900547315	0.359609852851348	1
CAG.628.sp000438415	0.794028055423461	1
CAG.238.sp000435615	0.616575602311988	1
Megasphaera.elsdenii	0.64759417156185	1
Prevotella.sp000436915	0.913389065403133	1
Prevotella.hominis	0.458751662797436	1
Sutterella.wadsworthensis	0.679224538839855	1
Prevotella.merdae	0.432653715849064	1
Faecousia.sp900546075	0.419927458070425	1
Phocaeicola.dorei	0.527624506541309	1
Acetatifactor.sp003447295	0.844771743519539	1
Phascolarctobacteriumsuccinatutens_B	0.727711083177414	1
Limivicinus.sp003150355	0.727711083177414	1
CAG.510.sp000434615	0.896155071405668	1
Bifidobacterium.breve	0.695254215556947	1
Veillonellaseminalis	0.695254215556947	1
Prevotella.sp900552675	0.485691797121813	1
Alloprevotella.sp900540885	0.711418553497128	1
Prevotella.sp900767615	0.499469895607991	1
Dialister.hominis	0.616575602311988	1
Acidaminococcus.fermentans	0.601309944811687	1
Phocaeicola.sp000432735	0.727711083177414	1
Veillonella.parvula	0.744125167754451	1
Phascolarctobacterium.faecium	0.695254215556947	1
UBA9732.sp001940825	0.810858944990245	1
CAG.170.sp934668295	0.794028055423461	1
Fimimonas.sp003537755	0.810858944990245	1
Dysosmobacter.welbionis	0.727711083177414	1
Parabacteroides.sp900549585	0.878968985087402	1
Vescimonas.sp900313295	0.586213874783266	1
Gemmiger.sp900554145	0.586213874783266	1
Faecousia.sp900553805	0.586213874783266	1
CAG.1193.sp900550145	0.571292507520386	1
Woodwardibium.sp900760275	0.663335819487001	1
Vescimonas.sp900756715	0.663335819487001	1
Egerieisoma.sp900543695	0.663335819487001	1
Parabacteroides.sp900760525	0.679224538839855	1
Evtepia.gabavorous	0.663335819487001	1
Bacteroides.stercorirosoris	0.679224538839855	1
CAG.273.sp000435755	0.679224538839855	1
Parabacteroides.goldsteinii	0.679224538839855	1
CAG.302.sp000431795	0.679224538839855	1
Tidjanibacter.inops	1	1
Negativibacillus.faecipullorum	0.663335819487001	1
Alectryocaccomicrobium.excrementavium	0.663335819487001	1
Dialister.sp025992895	0.663335819487001	1
CALXXX01.sp944391565	0.760654012318577	1
SFHK01.sp004556395	0.760654012318577	1
UMGS692.sp900544545	0.760654012318577	1
CAG.272.sp000433515	0.777290670735442	1
Merdousia.sp949293415	0.760654012318577	1
Ligilactobacillus.salivarius	0.777290670735442	1
Prevotella.sp934230115	0.586213874783266	1
Alloprevotella.sp900541575	0.586213874783266	1
